rule,label,affine,mle_mean,mle_sd,n_inf,samples,v_front_mean,v_front_sd,D_norm_mean,D_norm_sd,fill_mean,fill_sd,h_final_mean,r_final_mean,cone_grows
362,B13/S013,False,1.325172,0.000880,0,16,1.000000,0.000000,0.491817,0.002199,0.491817,0.002199,4893.31,70.00,True
364,B23/S013,False,1.259088,0.001001,0,16,1.000000,0.000000,0.427002,0.006651,0.427002,0.006651,4255.69,70.00,True
366,B123/S013,False,1.131700,0.000970,0,16,0.986829,0.015834,0.366331,0.010203,0.376333,0.014913,3679.94,69.06,True
368,B4/S013,False,0.888917,0.173547,0,16,0.022317,0.013086,0.000269,0.000154,0.339423,0.271890,2.06,1.38,False
369,B04/S013,False,1.033854,0.039721,0,16,0.094095,0.056843,0.001453,0.001185,0.139027,0.086887,11.12,5.81,False
370,B14/S013,False,1.152436,0.001618,0,16,0.983113,0.015524,0.371856,0.018811,0.384795,0.020335,3707.75,68.81,True
372,B24/S013,False,1.467522,0.003065,0,16,0.999068,0.003510,0.399630,0.018252,0.400320,0.016990,3931.06,69.88,True
374,B124/S013,False,1.394751,0.001145,0,16,1.000000,0.000000,0.450709,0.006516,0.450709,0.006516,4507.81,70.00,True
376,B34/S013,False,0.641580,0.254718,0,16,0.065938,0.029317,0.000668,0.000401,0.181318,0.230827,5.12,4.06,False
377,B034/S013,False,1.030885,0.004142,0,16,0.935391,0.021623,0.297154,0.016769,0.339298,0.015472,2959.38,65.12,True
378,B134/S013,False,1.280956,0.000797,0,16,1.000000,0.000000,0.471369,0.004935,0.471369,0.004935,4703.94,70.00,True
380,B234/S013,False,1.223447,0.001072,0,16,0.981077,0.012487,0.361839,0.009921,0.375938,0.012308,3648.38,68.69,True
382,B1234/S013,False,1.157656,0.000838,0,16,0.971818,0.011473,0.342567,0.008546,0.362601,0.008344,3403.69,68.12,True
384,B/S23,False,1.098071,0.000241,0,16,0.020289,0.028113,0.000253,0.000348,0.069170,0.099720,1.94,1.25,False
385,B0/S23,False,1.098019,0.000272,0,16,0.219415,0.185067,0.006603,0.006349,0.141463,0.235371,53.06,13.75,True
386,B1/S23,False,1.040528,0.018929,0,16,0.302276,0.102914,0.011804,0.005809,0.111080,0.048492,91.25,18.56,True
388,B2/S23,False,0.921732,0.012184,0,16,0.845895,0.040630,0.110824,0.024136,0.154321,0.032235,919.06,58.88,True
390,B12/S23,False,0.884087,0.002463,0,16,0.837538,0.224454,0.227799,0.062048,0.285127,0.077704,2280.50,58.62,True
392,B3/S23,False,1.097976,0.000427,0,16,0.037534,0.035913,0.000554,0.000605,0.119787,0.111712,4.25,2.31,False
393,B03/S23,False,0.995690,0.037626,0,16,0.807109,0.050123,0.166404,0.022906,0.254391,0.026008,1613.00,56.31,True
394,B13/S23,False,1.209327,0.002590,0,16,0.994109,0.010003,0.391999,0.010499,0.396670,0.010638,3929.44,69.50,True
396,B23/S23,False,0.698753,0.002326,0,16,0.797458,0.215992,0.105525,0.029568,0.145640,0.039977,1049.56,55.12,True
398,B123/S23,False,0.661300,0.002653,0,16,0.748112,0.293533,0.186897,0.074227,0.255253,0.100835,1892.50,52.25,True
400,B4/S23,False,1.098100,0.000316,0,16,0.014202,0.033982,0.000147,0.000301,0.057679,0.123852,1.12,0.88,False
401,B04/S23,False,1.099010,0.002389,0,16,0.274632,0.105898,0.007823,0.003892,0.108092,0.045385,61.00,16.94,True
402,B14/S23,False,1.149715,0.002482,0,16,0.907918,0.029042,0.272445,0.015500,0.330289,0.017386,2725.25,63.31,True
404,B24/S23,False,1.124680,0.001565,0,16,0.964593,0.024219,0.338197,0.026216,0.362849,0.017847,3385.00,67.56,True
406,B124/S23,False,1.119841,0.000739,0,16,0.972161,0.016608,0.338130,0.007184,0.357836,0.012034,3382.00,68.00,True
408,B34/S23,False,1.098469,0.000131,0,16,0.061880,0.059627,0.000686,0.000814,0.070043,0.089388,5.25,3.81,False
409,B034/S23,False,0.979982,0.038828,0,16,0.754620,0.203566,0.154343,0.046476,0.237022,0.068906,1477.81,52.25,True
