rule,phi_dnf,grad_left_dnf,grad_centre_dnf,grad_right_dnf,affine,dnf_consistent
104,!s_{i-1}s_is_{i+1} + s_{i-1}!s_is_{i+1} + s_{i-1}s_i!s_{i+1},s_{i+1} + s_i,s_{i+1} + s_{i-1},s_i + s_{i-1},False,True
105,!s_{i-1}!s_i!s_{i+1} + !s_{i-1}s_is_{i+1} + s_{i-1}!s_is_{i+1} + s_{i-1}s_i!s_{i+1},1,1,1,True,True
106,!s_{i-1}s_{i+1} + !s_is_{i+1} + s_{i-1}s_i!s_{i+1},s_i,s_{i-1},1,False,True
108,!s_{i-1}s_i + s_{i-1}!s_is_{i+1} + s_i!s_{i+1},s_{i+1},1,s_{i-1},False,True
110,!s_is_{i+1} + s_i!s_{i+1} + !s_{i-1}s_{i+1},s_is_{i+1},!s_{i+1} + s_{i-1},!s_i + s_{i-1},False,True
122,!s_{i-1}s_{i+1} + s_{i-1}!s_{i+1} + !s_is_{i+1},!s_{i+1} + s_i,s_{i-1}s_{i+1},!s_{i-1} + s_i,False,True
126,!s_is_{i+1} + s_i!s_{i+1} + !s_{i-1}s_{i+1} + s_{i-1}!s_{i+1},!s_i!s_{i+1} + s_is_{i+1},!s_{i-1}!s_{i+1} + s_{i-1}s_{i+1},!s_{i-1}!s_i + s_{i-1}s_i,False,True
128,s_{i-1}s_is_{i+1},s_is_{i+1},s_{i-1}s_{i+1},s_{i-1}s_i,False,True
130,!s_{i-1}!s_is_{i+1} + s_{i-1}s_is_{i+1},s_{i+1},s_{i+1},!s_{i-1}!s_i + s_{i-1}s_i,False,True
132,!s_{i-1}s_i!s_{i+1} + s_{i-1}s_is_{i+1},s_i,!s_{i-1}!s_{i+1} + s_{i-1}s_{i+1},s_i,False,True
134,!s_{i-1}!s_is_{i+1} + !s_{i-1}s_i!s_{i+1} + s_{i-1}s_is_{i+1},s_{i+1} + s_i,!s_{i-1} + s_{i+1},!s_{i-1} + s_i,False,True
136,s_is_{i+1},0,s_{i+1},s_i,False,True
138,!s_{i-1}s_{i+1} + s_is_{i+1},!s_is_{i+1},s_{i-1}s_{i+1},!s_{i-1} + s_i,False,True
140,!s_{i-1}s_i + s_is_{i+1},s_i!s_{i+1},!s_{i-1} + s_{i+1},s_{i-1}s_i,False,True
142,!s_{i-1}s_{i+1} + !s_{i-1}s_i + s_is_{i+1},!s_is_{i+1} + s_i!s_{i+1},!s_{i-1}!s_{i+1} + s_{i-1}s_{i+1},!s_{i-1}!s_i + s_{i-1}s_i,False,True
146,!s_{i-1}!s_is_{i+1} + s_{i-1}!s_i!s_{i+1} + s_{i-1}s_is_{i+1},!s_i + s_{i+1},s_{i+1} + s_{i-1},!s_i + s_{i-1},False,True
150,!s_{i-1}!s_is_{i+1} + !s_{i-1}s_i!s_{i+1} + s_{i-1}!s_i!s_{i+1} + s_{i-1}s_is_{i+1},1,1,1,True,True
152,s_is_{i+1} + s_{i-1}!s_i!s_{i+1},!s_i!s_{i+1},s_{i+1} + s_{i-1},s_i + s_{i-1},False,True
154,!s_{i-1}s_{i+1} + s_{i-1}!s_i!s_{i+1} + s_is_{i+1},!s_i,s_{i-1},1,False,True
156,!s_{i-1}s_i + s_{i-1}!s_i!s_{i+1} + s_is_{i+1},!s_{i+1},1,s_{i-1},False,True
160,s_{i-1}s_{i+1},s_{i+1},0,s_{i-1},False,True
162,!s_is_{i+1} + s_{i-1}s_{i+1},s_is_{i+1},!s_{i-1}s_{i+1},!s_i + s_{i-1},False,True
164,!s_{i-1}s_i!s_{i+1} + s_{i-1}s_{i+1},s_{i+1} + s_i,!s_{i-1}!s_{i+1},s_i + s_{i-1},False,True
168,s_is_{i+1} + s_{i-1}s_{i+1},!s_is_{i+1},!s_{i-1}s_{i+1},s_i + s_{i-1},False,True
170,s_{i+1},0,0,1,True,True
172,!s_{i-1}s_i + s_{i-1}s_{i+1},!s_is_{i+1} + s_i!s_{i+1},!s_{i-1},s_{i-1},False,True
178,!s_is_{i+1} + s_{i-1}!s_i + s_{i-1}s_{i+1},!s_i!s_{i+1} + s_is_{i+1},!s_{i-1}s_{i+1} + s_{i-1}!s_{i+1},!s_{i-1}!s_i + s_{i-1}s_i,False,True
184,s_is_{i+1} + s_{i-1}!s_i,!s_i,!s_{i-1}s_{i+1} + s_{i-1}!s_{i+1},s_i,False,True
200,s_is_{i+1} + s_{i-1}s_i,s_i!s_{i+1},s_{i+1} + s_{i-1},!s_{i-1}s_i,False,True
204,s_i,0,1,0,True,True
232,s_is_{i+1} + s_{i-1}s_{i+1} + s_{i-1}s_i,!s_is_{i+1} + s_i!s_{i+1},!s_{i-1}s_{i+1} + s_{i-1}!s_{i+1},!s_{i-1}s_i + s_{i-1}!s_i,False,True
