rule,label,affine,mle_mean,mle_sd,n_inf,samples,v_front_mean,v_front_sd,D_norm_mean,D_norm_sd,fill_mean,fill_sd,h_final_mean,r_final_mean,cone_grows
0,0,True,-inf,,24,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
1,1,False,0.549306,0.000000,0,24,0.001836,0.002229,0.001677,0.001902,0.326000,0.347768,1.08,0.50,False
2,2,False,0.005492,0.000005,0,24,0.623883,0.493657,0.001751,0.001585,0.001753,0.001585,0.92,187.21,True
3,3,False,0.346574,0.000000,0,24,0.417547,0.190754,0.002511,0.001347,0.004999,0.002677,1.46,125.29,True
4,4,False,0.000000,0.000000,0,24,0.001436,0.001893,0.001910,0.000976,0.666667,0.380693,1.00,0.38,False
5,5,False,0.346574,0.000000,0,24,0.002793,0.002474,0.002073,0.001638,0.415148,0.296381,1.21,0.75,False
6,6,False,0.555271,0.012797,0,24,0.905979,0.279753,0.005329,0.004385,0.005379,0.004396,2.62,272.21,True
7,7,False,0.346574,0.000000,0,24,0.356284,0.233604,0.004859,0.004697,0.009606,0.009245,2.67,106.88,True
8,8,False,-inf,,24,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
9,9,False,0.151363,0.057491,0,24,0.686480,0.450748,0.016881,0.027060,0.017350,0.027662,9.04,206.79,True
10,10,False,0.005492,0.000004,0,24,0.789433,0.413694,0.002149,0.001415,0.002154,0.001415,1.12,236.92,True
11,11,False,0.109118,0.035080,0,24,0.743779,0.438885,0.004935,0.004287,0.004994,0.004377,2.58,223.38,True
12,12,False,0.005492,0.000004,0,24,0.002552,0.001844,0.002070,0.001370,0.444444,0.321029,1.08,0.67,False
13,13,False,0.481212,0.000000,0,24,0.002712,0.003476,0.002468,0.003110,0.297222,0.368823,1.29,0.71,False
14,14,False,0.438769,0.090987,0,24,0.404212,0.429340,0.046093,0.136733,0.055174,0.149092,24.75,125.08,True
15,15,True,0.000000,0.000000,0,24,1.000000,0.000000,0.001910,0.000000,0.001910,0.000000,1.00,300.00,True
18,18,False,0.691666,0.000311,0,24,0.646741,0.461732,0.190612,0.137933,0.216586,0.150777,111.75,194.25,True
19,19,False,0.346574,0.000000,0,24,0.002712,0.002874,0.003423,0.002389,0.713889,0.360611,1.79,0.71,False
22,22,False,0.871028,0.008566,0,24,0.723384,0.225348,0.318369,0.099197,0.403337,0.124485,191.88,216.04,True
23,23,False,0.693147,0.000000,0,24,0.003350,0.003255,0.003264,0.002899,0.550397,0.397756,1.71,0.88,False
24,24,False,0.005541,0.000010,0,24,0.831419,0.379831,0.002468,0.001541,0.002472,0.001541,1.29,249.50,True
25,25,False,0.539464,0.022716,0,24,0.162095,0.216625,0.036407,0.082473,0.082555,0.178879,19.21,48.71,True
26,26,False,0.414335,0.007935,0,24,0.955462,0.203569,0.007449,0.005186,0.007468,0.005199,3.29,286.75,True
27,27,False,0.034916,0.010285,0,24,0.416662,0.190352,0.003022,0.001901,0.006029,0.003790,1.46,124.92,True
28,28,False,0.481212,0.000001,0,24,0.005740,0.004147,0.005253,0.003346,0.620749,0.305800,2.71,1.46,False
29,29,False,0.346574,0.000000,0,24,0.002461,0.001559,0.002549,0.001219,0.705481,0.133554,1.42,0.42,False
30,30,False,0.660072,0.002644,0,24,1.000000,0.000000,0.315280,0.016967,0.315280,0.016967,185.50,300.00,True
32,32,False,-inf,,24,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
33,33,False,0.671830,0.011689,0,24,0.005589,0.002882,0.005186,0.002069,0.728935,0.210955,3.17,1.58,False
34,34,False,0.005490,0.000004,0,24,0.707695,0.463889,0.001990,0.001541,0.001991,0.001541,1.04,212.33,True
35,35,False,0.144600,0.044437,0,24,0.391330,0.205442,0.005059,0.006883,0.010522,0.015272,2.79,117.62,True
36,36,False,0.005529,0.000008,0,24,0.001914,0.002987,0.001114,0.001249,0.272222,0.365104,0.58,0.50,False
37,37,False,0.398987,0.018337,0,24,0.033666,0.026834,0.011551,0.006774,0.359742,0.179614,6.38,8.96,False
38,38,False,0.545343,0.008579,0,24,0.707536,0.463785,0.002860,0.002180,0.002864,0.002184,1.29,212.29,True
40,40,False,-inf,,24,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
41,41,False,0.862972,0.001891,0,24,0.904358,0.042080,0.199627,0.078090,0.221484,0.087859,109.21,274.54,True
42,42,False,0.005491,0.000004,0,24,0.833333,0.380693,0.002309,0.001488,0.002309,0.001488,1.21,250.00,True
43,43,False,0.650963,0.067151,0,24,0.311703,0.410537,0.011683,0.030072,0.020536,0.041164,6.17,92.71,True
44,44,False,0.481212,0.000000,0,24,0.003828,0.004224,0.001910,0.001869,0.261111,0.282786,1.00,1.00,False
45,45,False,0.717043,0.000550,0,24,1.000000,0.000000,0.297565,0.017707,0.297565,0.017707,177.50,300.00,True
46,46,False,0.054645,0.009731,0,24,0.749043,0.441766,0.004139,0.002963,0.004144,0.002964,2.17,224.75,True
50,50,False,0.481212,0.000000,0,24,0.003190,0.002687,0.003423,0.002389,0.647222,0.322717,1.79,0.83,False
51,51,True,0.000000,0.000000,0,24,0.000000,0.000000,0.001910,0.000000,1.000000,0.000000,1.00,0.00,False
54,54,False,0.742916,0.001873,0,24,0.469999,0.182030,0.154806,0.068323,0.299835,0.109795,90.29,139.08,True
56,56,False,0.038947,0.010044,0,24,0.915231,0.281896,0.005572,0.005036,0.005581,0.005042,2.92,274.62,True
57,57,False,0.698505,0.003481,0,24,0.309103,0.383412,0.043910,0.097782,0.066541,0.138265,24.50,88.62,True
58,58,False,0.163757,0.093950,0,24,0.574720,0.496389,0.011065,0.014712,0.011316,0.015203,5.79,172.75,True
60,60,True,0.691770,0.000283,0,24,1.000000,0.000000,0.068340,0.000000,0.068340,0.000000,16.00,300.00,True
62,62,False,0.454742,0.017474,0,24,0.133049,0.193119,0.013962,0.034472,0.145976,0.226647,7.75,40.12,True
72,72,False,0.693147,0.000000,0,24,0.002712,0.003287,0.001751,0.001945,0.238889,0.280728,0.92,0.71,False
73,73,False,0.908977,0.021363,0,24,0.030990,0.022429,0.011670,0.007750,0.383119,0.140811,5.75,7.42,False
74,74,False,0.052655,0.013144,0,24,0.954984,0.203476,0.005016,0.002971,0.005032,0.002977,2.67,286.62,True
76,76,False,0.005488,0.000005,0,24,0.001755,0.001949,0.002149,0.001170,0.652778,0.360879,1.12,0.46,False
77,77,False,0.693147,0.000000,0,24,0.004147,0.004360,0.003423,0.002872,0.564418,0.345731,1.79,1.08,False
78,78,False,0.481212,0.000000,0,24,0.004785,0.004109,0.003582,0.003050,0.418651,0.357800,1.88,1.25,False
90,90,True,0.691765,0.000219,0,24,1.000000,0.000000,0.068340,0.000000,0.068340,0.000000,16.00,300.00,True
94,94,False,0.606128,0.000663,0,24,0.014383,0.012425,0.007510,0.005565,0.437800,0.258711,3.88,3.62,False
104,104,False,0.694908,0.002402,0,24,0.005104,0.006452,0.002388,0.002472,0.251288,0.271366,1.25,1.33,False
105,105,True,1.097153,0.000283,0,24,1.000000,0.000000,0.144129,0.000000,0.144129,0.000000,45.00,300.00,True
106,106,False,0.724907,0.009265,0,24,1.000000,0.000000,0.224938,0.034723,0.224938,0.034723,138.83,300.00,True
108,108,False,0.783670,0.052681,0,24,0.004141,0.003727,0.003456,0.002043,0.645238,0.309119,1.54,0.96,False
110,110,False,0.656258,0.001286,0,24,0.397337,0.100993,0.141752,0.047834,0.360501,0.107796,84.38,117.50,True
122,122,False,0.655884,0.002269,0,24,0.890527,0.274360,0.430524,0.133340,0.443179,0.137386,255.54,267.42,True
126,126,False,0.719924,0.008835,0,24,0.811798,0.370882,0.378757,0.177961,0.388802,0.182717,224.25,243.75,True
128,128,False,-inf,,24,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
130,130,False,0.005514,0.000025,0,24,0.789274,0.413604,0.002388,0.001618,0.002395,0.001622,1.25,236.88,True
132,132,False,0.005363,0.000311,0,24,0.004626,0.003189,0.002388,0.001291,0.440741,0.275511,1.25,1.21,False
134,134,False,0.515005,0.011552,0,24,0.858410,0.332077,0.006737,0.008445,0.006858,0.008528,3.92,258.17,True
136,136,False,-inf,,24,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,False
138,138,False,0.035428,0.012590,0,24,0.749362,0.441955,0.002229,0.001560,0.002230,0.001560,1.17,224.83,True
140,140,False,0.005529,0.000007,0,24,0.001914,0.001955,0.001910,0.001380,0.500000,0.380693,1.00,0.50,False
142,142,False,0.651996,0.094817,0,24,0.443452,0.391382,0.024895,0.036961,0.066133,0.111947,12.50,132.12,True
146,146,False,0.691588,0.000428,0,24,0.972639,0.007699,0.294552,0.030913,0.302812,0.031699,176.75,292.29,True
150,150,True,1.097203,0.000399,0,24,1.000000,0.000000,0.144129,0.000000,0.144129,0.000000,45.00,300.00,True
152,152,False,0.005688,0.000077,0,24,0.785127,0.411483,0.003503,0.002682,0.003526,0.002689,1.83,235.79,True
154,154,False,0.487448,0.010374,0,24,1.000000,0.000000,0.003543,0.001537,0.003543,0.001537,1.42,300.00,True
