rule,label,affine,mle_mean,mle_sd,n_inf,samples,v_front_mean,v_front_sd,D_norm_mean,D_norm_sd,fill_mean,fill_sd,h_final_mean,r_final_mean,cone_grows
105420,B23678/S02367,False,1.378727,0.001016,0,10,0.990261,0.011349,0.404297,0.004637,0.412329,0.008740,8068.50,69.40,True
105481,B03/S12367,False,1.397291,0.005027,0,10,0.927877,0.032096,0.230508,0.023385,0.267425,0.023888,4379.80,64.20,True
105505,B05/S12367,False,1.200033,0.075718,0,10,0.105884,0.048001,0.001516,0.000761,0.129719,0.054455,23.60,6.60,True
105634,B157/S12367,False,1.326406,0.011876,0,10,0.822696,0.029649,0.195947,0.011828,0.288600,0.008628,3908.00,57.20,True
105924,B2678/S12367,False,1.241996,0.014397,0,10,0.837671,0.040261,0.192725,0.014611,0.274588,0.022657,3802.30,58.00,True
105953,B05678/S12367,False,1.075691,0.027236,0,10,0.147701,0.048512,0.003007,0.001653,0.120026,0.034551,45.60,9.10,True
106106,B13456/S012367,False,1.318853,0.001172,0,10,0.922295,0.010828,0.298370,0.006798,0.350427,0.009550,5965.20,64.40,True
106144,B57/S012367,False,1.229774,0.100270,0,10,0.052507,0.026267,0.000569,0.000354,0.171740,0.086214,8.80,3.30,False
106369,B078/S012367,False,0.855730,0.094034,0,10,0.021100,0.010955,0.000176,0.000134,0.186222,0.125803,2.70,1.30,False
106380,B2378/S012367,False,1.258553,0.001435,0,10,0.961502,0.016332,0.352775,0.008366,0.381540,0.011552,7053.20,67.00,True
106454,B124678/S012367,False,1.711922,0.001396,0,10,1.000000,0.000000,0.445039,0.006962,0.445039,0.006962,8874.80,70.00,True
106537,B035/S467,False,1.747771,0.006400,0,10,1.000000,0.000000,0.375823,0.005841,0.375823,0.005841,7485.40,70.00,True
106950,B12678/S467,False,1.465844,0.001473,0,10,0.967208,0.013711,0.355811,0.008621,0.380158,0.005854,7104.30,67.80,True
107016,B3/S0467,False,1.282748,0.204557,0,10,0.103878,0.020531,0.000476,0.000166,0.038727,0.010325,7.30,6.40,True
107184,B457/S0467,False,0.000000,0.000000,0,10,0.123355,0.027799,0.000411,0.000197,0.025094,0.011524,6.30,7.60,True
107216,B467/S0467,False,0.000421,0.001328,0,10,0.077908,0.028423,0.000267,0.000125,0.037417,0.010680,4.10,4.80,False
107414,B12478/S0467,False,1.809344,0.001230,0,10,1.000000,0.000000,0.460867,0.003147,0.460867,0.003147,9190.40,70.00,True
107418,B13478/S0467,False,1.684442,0.001067,0,10,1.000000,0.000000,0.437313,0.005947,0.437313,0.005947,8780.70,70.00,True
107473,B04678/S0467,False,1.324907,0.004852,0,10,0.943465,0.019894,0.260539,0.008464,0.292567,0.009355,5219.20,65.80,True
107556,B25/S1467,False,1.806109,0.001742,0,10,1.000000,0.000000,0.411490,0.006174,0.411490,0.006174,8205.00,70.00,True
107678,B12347/S1467,False,1.623009,0.001033,0,10,0.897379,0.315357,0.369127,0.129921,0.371311,0.130769,7358.00,62.80,True
107776,B8/S1467,False,0.693147,0.000000,0,10,0.012985,0.022697,0.000052,0.000091,0.020938,0.034728,0.80,0.80,False
107785,B038/S1467,False,1.747527,0.002303,0,10,1.000000,0.000000,0.389963,0.004289,0.389963,0.004289,7794.30,70.00,True
107786,B138/S1467,False,1.849710,0.000430,0,10,1.000000,0.000000,0.442627,0.003666,0.442627,0.003666,8835.80,70.00,True
107818,B1358/S1467,False,2.034855,0.001355,0,10,1.000000,0.000000,0.486712,0.002378,0.486712,0.002378,9704.70,70.00,True
108172,B237/S01467,False,1.662405,0.001410,0,10,0.996754,0.006844,0.414151,0.006216,0.416829,0.004538,8265.30,69.80,True
108384,B568/S01467,False,0.615803,0.209453,0,10,0.071416,0.021910,0.000456,0.000160,0.086979,0.055761,7.00,4.40,False
108426,B1378/S01467,False,1.841443,0.000897,0,10,1.000000,0.000000,0.446959,0.002705,0.446959,0.002705,8927.70,70.00,True
108444,B23478/S01467,False,1.649946,0.000991,0,10,1.000000,0.000000,0.424408,0.006182,0.424408,0.006182,8512.60,70.00,True
108548,B2/S2467,False,1.661856,0.001225,0,10,1.000000,0.000000,0.393203,0.004522,0.393203,0.004522,7825.40,70.00,True
108564,B24/S2467,False,1.952512,0.001305,0,10,1.000000,0.000000,0.489026,0.001473,0.489026,0.001473,9730.00,70.00,True
108570,B134/S2467,False,1.809034,0.001108,0,10,1.000000,0.000000,0.462758,0.003473,0.462758,0.003473,9226.50,70.00,True
108689,B047/S2467,False,1.660821,0.010054,0,10,0.991081,0.008071,0.341098,0.009158,0.347190,0.006692,6829.00,69.40,True
108772,B2567/S2467,False,1.801873,0.001807,0,10,1.000000,0.000000,0.460970,0.003412,0.460970,0.003412,9169.90,70.00,True
108862,B123458/S2467,False,1.715723,0.001256,0,10,0.897762,0.315485,0.351647,0.123735,0.353405,0.124341,7033.50,62.80,True
108982,B124578/S2467,False,1.899854,0.001150,0,10,1.000000,0.000000,0.452590,0.003501,0.452590,0.003501,9009.70,70.00,True
109094,B125/S02467,False,1.871771,0.001690,0,10,1.000000,0.000000,0.469286,0.004379,0.469286,0.004379,9360.50,70.00,True
109096,B35/S02467,False,2.084466,0.002181,0,10,1.000000,0.000000,0.480872,0.002305,0.480872,0.002305,9569.30,70.00,True
109137,B046/S02467,False,1.734362,0.017546,0,10,0.987973,0.009377,0.336458,0.008677,0.344721,0.010360,6736.10,69.10,True
109182,B123456/S02467,False,1.644349,0.001492,0,10,0.996905,0.006147,0.360932,0.007358,0.363168,0.006925,7200.70,69.70,True
109280,B567/S02467,False,1.490443,0.085859,0,10,0.097385,0.027587,0.000482,0.000216,0.043236,0.014129,7.40,6.00,False
109514,B13678/S02467,False,1.988539,0.001211,0,10,1.000000,0.000000,0.483952,0.002315,0.483952,0.002315,9638.80,70.00,True
109624,B345/S12467,False,1.746912,0.001134,0,10,0.998377,0.005133,0.417684,0.008106,0.419051,0.008616,8320.90,69.90,True
109649,B046/S12467,False,1.799813,0.006907,0,10,1.000000,0.000000,0.403789,0.005491,0.403789,0.005491,8059.00,70.00,True
109820,B234567/S12467,False,1.558327,0.002045,0,10,0.987315,0.012368,0.322069,0.005624,0.330404,0.006646,6447.70,69.10,True
110104,B34/S012467,False,1.730332,0.001595,0,10,1.000000,0.000000,0.447107,0.005496,0.447107,0.005496,8914.30,70.00,True
110217,B037/S012467,False,1.828338,0.001420,0,10,1.000000,0.000000,0.444079,0.004098,0.444079,0.004098,8832.60,70.00,True
110362,B1348/S012467,False,1.775874,0.001450,0,10,1.000000,0.000000,0.454918,0.004209,0.454918,0.004209,9075.80,70.00,True
110369,B058/S012467,False,1.445311,0.081455,0,10,0.063300,0.023521,0.000795,0.000434,0.156544,0.085988,12.20,3.90,False
110484,B2478/S012467,False,1.927841,0.001351,0,10,1.000000,0.000000,0.488684,0.001893,0.488684,0.001893,9699.90,70.00,True
110494,B123478/S012467,False,1.665255,0.001977,0,10,0.998377,0.005133,0.413155,0.009208,0.414473,0.007849,8231.30,69.90,True
